eventdate,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
10/2/2011,2011,HOU,PIT,1525.053,1605.45,0.47785643,0.52214357,1546.921,1583.582,17,10
10/2/2011,2011,PHI,SF,1524.975,1490.787,0.638987435,0.361012565,1515.698,1500.064,23,24
10/2/2011,2011,CHI,CAR,1536.183,1388.094,0.77322976,0.22677024,1543.592,1380.685,34,29
10/2/2011,2011,KC,MIN,1398.222,1442.444,0.529866348,0.470133652,1414.911,1425.755,22,17
10/2/2011,2011,SEA,ATL,1418.91,1555.861,0.397909482,0.602090518,1410.444,1564.327,28,30
10/3/2011,2011,TB,IND,1525.166,1483.834,0.648418824,0.351581176,1539.114,1469.886,24,17
10/9/2011,2011,SF,TB,1500.064,1539.114,0.537275762,0.462724238,1535.083,1504.095,48,3
10/9/2011,2011,HOU,OAK,1546.921,1512.987,0.638650076,0.361349924,1522.957,1536.951,20,25
10/9/2011,2011,BUF,PHI,1504.759,1515.698,0.577178173,0.422821827,1521.922,1498.535,31,24
10/9/2011,2011,CAR,NO,1380.685,1610.182,0.279504485,0.720495515,1373.475,1617.392,27,30
10/9/2011,2011,MIN,ARI,1425.755,1382.099,0.651462547,0.348537453,1447.137,1360.717,34,10
10/9/2011,2011,IND,KC,1469.886,1414.911,0.666107418,0.333892582,1447.208,1437.589,24,28
10/9/2011,2011,NYG,SEA,1567.137,1410.444,0.781796693,0.218203307,1523.929,1453.651,25,36
10/9/2011,2011,ATL,GB,1564.327,1705.555,0.392026075,0.607973925,1545.496,1724.385,14,25
10/9/2011,2011,JAX,CIN,1425.925,1458.764,0.546151656,0.453848344,1399.344,1485.345,20,30
10/9/2011,2011,DEN,LAC,1375.282,1566.716,0.325674919,0.674325081,1364.245,1577.753,24,29
10/9/2011,2011,NE,NYJ,1677.326,1576.008,0.722601615,0.277398385,1689.203,1564.131,30,21
10/9/2011,2011,PIT,TEN,1583.582,1537.272,0.654923401,0.345076599,1603.887,1516.966,38,17
10/10/2011,2011,DET,CHI,1540.368,1543.592,0.587977626,0.412022374,1560.286,1523.675,24,13
10/16/2011,2011,CIN,IND,1485.345,1447.208,0.644214631,0.355785369,1501.643,1430.909,27,17
10/16/2011,2011,NE,DAL,1689.203,1505.54,0.807122362,0.192877638,1694.781,1499.962,20,16
10/16/2011,2011,DET,SF,1560.286,1535.083,0.626972423,0.373027577,1534.842,1560.527,19,25
10/16/2011,2011,GB,LAR,1724.385,1344.253,0.928401208,0.071598792,1728.067,1340.572,24,3
10/16/2011,2011,CHI,MIN,1523.675,1447.137,0.693122525,0.306877475,1543.288,1427.523,39,10
10/16/2011,2011,TB,NO,1504.095,1617.392,0.430939295,0.569060705,1526.739,1594.748,26,20
10/16/2011,2011,OAK,CLE,1536.951,1425.258,0.734412532,0.265587468,1547.175,1415.034,24,17
10/16/2011,2011,PIT,JAX,1603.887,1399.344,0.825146755,0.174853245,1608.901,1394.33,17,13
10/16/2011,2011,NYG,BUF,1523.929,1521.922,0.595252748,0.404747252,1534.819,1511.032,27,24
10/16/2011,2011,BAL,HOU,1641.285,1522.957,0.741795329,0.258204671,1654.501,1509.741,29,14
10/16/2011,2011,ATL,CAR,1545.496,1373.475,0.796474296,0.203525704,1555.447,1363.524,31,17
10/16/2011,2011,WSH,PHI,1481.976,1498.535,0.569263972,0.430736028,1457.768,1522.743,13,20
10/17/2011,2011,NYJ,MIA,1564.131,1418.792,0.770441993,0.229558007,1576.47,1406.453,24,6
10/23/2011,2011,CAR,WSH,1363.524,1457.768,0.458013609,0.541986391,1392.516,1428.776,33,20
10/23/2011,2011,OAK,KC,1547.175,1437.589,0.732040071,0.267959929,1493.626,1491.139,0,28
10/23/2011,2011,ARI,PIT,1360.717,1608.901,0.258363472,0.741636528,1348.482,1621.136,20,32
10/23/2011,2011,CLE,SEA,1415.034,1453.651,0.537895378,0.462104622,1427.695,1440.991,6,3
10/23/2011,2011,MIA,DEN,1406.453,1364.245,0.649567547,0.350432453,1387.521,1383.178,15,18
10/23/2011,2011,TEN,HOU,1516.966,1509.741,0.602468336,0.397531664,1472.673,1554.035,7,41
10/23/2011,2011,NYJ,LAC,1576.47,1577.753,0.590681781,0.409318219,1591.951,1562.271,27,21
10/23/2011,2011,CHI,TB,1543.288,1526.739,0.523797931,0.476202069,1561.682,1508.344,24,18
10/23/2011,2011,NO,IND,1594.748,1430.909,0.788732675,0.211267325,1610.154,1415.503,62,7
10/23/2011,2011,DET,ATL,1534.842,1555.447,0.563544078,0.436455922,1510.922,1579.367,16,23
10/23/2011,2011,DAL,LAR,1499.962,1340.572,0.784433554,0.215566446,1512.999,1327.535,34,7
10/23/2011,2011,MIN,GB,1427.523,1728.067,0.204907426,0.795092574,1420.32,1735.27,27,33
10/24/2011,2011,JAX,BAL,1394.33,1654.501,0.245363649,0.754636351,1424.005,1624.826,12,7
10/30/2011,2011,PHI,DAL,1522.743,1512.999,0.605936003,0.394063997,1548.142,1487.6,34,7
10/30/2011,2011,NYG,MIA,1534.819,1387.521,0.772430355,0.227569645,1540.574,1381.767,20,17
10/30/2011,2011,LAR,NO,1327.535,1610.154,0.222230399,0.777769601,1368.93,1568.759,31,21
10/30/2011,2011,BAL,ARI,1624.826,1348.482,0.877065935,0.122934065,1627.777,1345.531,30,27
10/30/2011,2011,CAR,MIN,1392.516,1420.32,0.55332577,0.44667423,1376.91,1435.925,21,24
10/30/2011,2011,BUF,WSH,1511.032,1428.776,0.700078915,0.299921085,1528.899,1410.909,23,0
10/30/2011,2011,DEN,DET,1383.178,1510.922,0.410673105,0.589326895,1354.561,1539.539,10,45
10/30/2011,2011,SEA,CIN,1440.991,1501.643,0.506256948,0.493743052,1409.181,1533.453,12,34
10/30/2011,2011,SF,CLE,1560.527,1427.695,0.757461552,0.242538448,1571.199,1417.023,20,10
10/30/2011,2011,TEN,IND,1472.673,1415.503,0.668911721,0.331088279,1490.805,1397.371,27,10
10/30/2011,2011,HOU,JAX,1554.035,1424.005,0.754486033,0.245513967,1564.85,1413.19,24,14
10/30/2011,2011,PIT,NE,1621.136,1694.781,0.487561412,0.512438588,1643.744,1672.174,25,17
10/31/2011,2011,KC,LAC,1491.139,1562.271,0.491176259,0.508823741,1505.286,1548.124,23,20
11/6/2011,2011,PIT,BAL,1643.744,1627.777,0.61445636,0.38554364,1626.057,1645.464,20,23
11/6/2011,2011,KC,MIA,1505.286,1381.767,0.747477263,0.252522737,1450.228,1436.824,3,31
11/6/2011,2011,NE,NYG,1672.174,1540.574,0.756156285,0.243843715,1645.445,1567.302,20,24
11/6/2011,2011,TEN,CIN,1490.805,1533.453,0.532122808,0.467877192,1468.448,1555.811,17,24
11/6/2011,2011,NO,TB,1568.759,1508.344,0.673035566,0.326964434,1584.132,1492.971,27,16
11/6/2011,2011,ARI,LAR,1345.531,1368.93,0.55958417,0.44041583,1362.353,1352.108,19,13
11/6/2011,2011,WSH,SF,1410.909,1571.199,0.366204754,0.633795246,1395.484,1586.623,11,19
11/6/2011,2011,IND,ATL,1397.371,1579.367,0.337717353,0.662282647,1376.727,1600.011,7,31
11/6/2011,2011,LAC,GB,1548.124,1735.27,0.331118877,0.668881123,1535.078,1748.317,38,45
11/6/2011,2011,DAL,SEA,1487.6,1409.181,0.695420832,0.304579168,1501.313,1395.468,23,13
11/6/2011,2011,BUF,NYJ,1528.899,1591.951,0.502803368,0.497196632,1500.383,1620.468,11,27
11/6/2011,2011,OAK,DEN,1493.626,1354.561,0.763992172,0.236007828,1448.017,1400.17,24,38
11/6/2011,2011,HOU,CLE,1564.85,1417.023,0.772965196,0.227034804,1577.041,1404.832,30,12
11/7/2011,2011,PHI,CHI,1548.142,1561.682,0.573520058,0.426479942,1525.287,1584.537,24,30
11/10/2011,2011,LAC,OAK,1535.078,1448.017,0.705854271,0.294145729,1503.542,1479.552,17,24
11/13/2011,2011,SF,NYG,1586.623,1567.302,0.619019998,0.380980002,1601.883,1552.042,27,20
11/13/2011,2011,CLE,LAR,1404.832,1352.108,0.66321932,0.33678068,1395.118,1361.822,12,13
11/13/2011,2011,IND,JAX,1376.727,1413.19,0.54097594,0.45902406,1347.042,1442.875,3,17
11/13/2011,2011,SEA,BAL,1395.468,1645.464,0.256369868,0.743630132,1424.563,1616.37,22,17
11/13/2011,2011,KC,DEN,1450.228,1400.17,0.659782943,0.340217057,1421.274,1429.124,10,17
11/13/2011,2011,TB,HOU,1492.971,1577.041,0.472583591,0.527416409,1461.418,1608.594,9,37
11/13/2011,2011,PHI,ARI,1525.287,1362.353,0.787863276,0.212136724,1496.996,1390.645,17,21
11/13/2011,2011,NYJ,NE,1620.468,1645.445,0.557344298,0.442655702,1585.374,1680.539,16,37
11/13/2011,2011,DAL,BUF,1501.313,1500.383,0.593758193,0.406241807,1530.008,1471.688,44,7
11/13/2011,2011,CAR,TEN,1376.91,1468.448,0.461882848,0.538117152,1346.495,1498.863,3,30
11/13/2011,2011,MIA,WSH,1436.824,1395.484,0.648429323,0.351570677,1453.491,1378.817,20,9
11/13/2011,2011,CIN,PIT,1555.811,1626.057,0.492450973,0.507549027,1535.379,1646.488,17,24
11/13/2011,2011,ATL,NO,1600.011,1584.132,0.614336347,0.385663653,1582.328,1601.815,23,26
11/13/2011,2011,CHI,DET,1584.537,1539.539,0.653214559,0.346785441,1605.799,1518.277,37,13
11/14/2011,2011,GB,MIN,1748.317,1435.925,0.897747443,0.102252557,1754.712,1429.53,45,7
11/17/2011,2011,DEN,NYJ,1429.124,1585.374,0.371619072,0.628380928,1450.226,1564.272,17,13
11/20/2011,2011,GB,TB,1754.712,1461.418,0.8872052,0.1127948,1759.179,1456.951,35,26
11/20/2011,2011,BAL,CIN,1616.37,1535.379,0.698547717,0.301452283,1628.126,1523.622,31,24
11/20/2011,2011,DET,CAR,1518.277,1346.495,0.796251185,0.203748815,1528.24,1336.532,49,35
11/20/2011,2011,MIN,OAK,1429.53,1479.552,0.521541731,0.478458269,1409.094,1499.989,21,27
11/20/2011,2011,CLE,JAX,1395.118,1442.875,0.524794318,0.475205682,1410.295,1427.697,14,10
11/20/2011,2011,ATL,TEN,1582.328,1498.863,0.701538166,0.298461834,1593.209,1487.981,23,17
11/20/2011,2011,MIA,BUF,1453.491,1471.688,0.566950443,0.433049557,1481.75,1443.429,35,8
11/20/2011,2011,CHI,LAC,1605.799,1503.542,0.723683799,0.276316201,1618.562,1490.78,31,20
11/20/2011,2011,LAR,SEA,1361.822,1424.563,0.503250917,0.496749083,1332.7,1453.684,7,24
11/20/2011,2011,SF,ARI,1601.883,1390.645,0.830637734,0.169362266,1610.409,1382.119,23,7
11/20/2011,2011,NYG,PHI,1552.042,1496.996,0.666198312,0.333801688,1522.737,1526.301,10,17
11/20/2011,2011,WSH,DAL,1378.817,1530.008,0.378444617,0.621555383,1368.72,1540.105,24,27
11/21/2011,2011,NE,KC,1680.539,1421.274,0.866066628,0.133933372,1688.63,1413.183,34,3
11/24/2011,2011,DET,GB,1528.24,1759.179,0.277835916,0.722164084,1514.987,1772.432,15,27
11/24/2011,2011,DAL,MIA,1540.105,1481.75,0.670420706,0.329579294,1544.431,1477.424,20,19
11/24/2011,2011,BAL,SF,1628.126,1610.409,0.616840074,0.383159926,1645.836,1592.699,16,6
11/27/2011,2011,LAC,DEN,1490.78,1450.226,0.647397168,0.352602832,1471.926,1469.08,13,16
11/27/2011,2011,CIN,CLE,1523.622,1410.295,0.736243141,0.263756859,1530.387,1403.531,23,20
11/27/2011,2011,TEN,TB,1487.981,1456.951,0.634783372,0.365216628,1501.6,1443.332,23,17
11/27/2011,2011,ATL,MIN,1593.209,1409.094,0.807527094,0.192472906,1601.501,1400.802,24,14
11/27/2011,2011,SEA,WSH,1453.684,1368.72,0.703341766,0.296658234,1424.309,1398.095,17,23
11/27/2011,2011,LAR,ARI,1332.7,1382.119,0.522407842,0.477592158,1318.113,1396.706,20,23
11/27/2011,2011,PHI,NE,1526.301,1688.63,0.363484813,0.636515187,1505.803,1709.128,20,38
11/27/2011,2011,KC,PIT,1413.183,1646.488,0.275111484,0.724888516,1404.957,1654.715,9,13
11/27/2011,2011,IND,CAR,1347.042,1336.532,0.606988388,0.393011612,1319.42,1364.154,19,27
11/27/2011,2011,JAX,HOU,1427.697,1608.594,0.339133782,0.660866218,1414.299,1621.992,13,20
11/27/2011,2011,OAK,CHI,1499.989,1618.562,0.423507531,0.576492469,1521.163,1597.387,25,20
11/27/2011,2011,NYJ,BUF,1564.272,1443.429,0.744558557,0.255441443,1571.854,1435.847,28,24
